headline,link,description,time,SubCategory,Category
ইভিএম নিয়ে মনগড়া বক্তব্যে নাজিরপুর ইউপি নির্বাচন স্থগিত,https://banglanews24.com/election-comission/news/bd/946185.details,পটুয়াখালী: পটুয়াখালীর বাউফল উপজেলার নাজিরপুর তাঁতেরকাঠী ইউনিয়ন পরিষদের নির্বাচনে প্রচারণার সময় জোবায়েদুল হক রাসেল নামে এক,"July 25, 2022",Election,Politics & Movement
বঙ্গোপসাগরে জেলের জালে ধরা পড়লো ২টি ‘বাদুড়’ মাছ,https://banglanews24.com/environment-biodiversity/news/bd/946115.details,পটুয়াখালী: পটুয়াখালীর কুয়াকাটা সংলগ্ন বঙ্গোপসাগরে জাকির প্যাদা নামে এক জেলের জালে ধরা পড়েছে দুটি বাদুড় মাছ (জায়ান্ট ওসেনিক মান্টা,"July 25, 2022",Agriculture,Agriculture
বৌদ্ধ মন্দিরের জায়গা দখলমুক্ত করল প্রশাসন,https://banglanews24.com/national/news/bd/946101.details,"পটুয়াখালী: পটুয়াখালীর কুয়াকাটার সীমা বৌদ্ধ মন্দিরের ২৪ শতাংশ জায়গা দখল করে, অবৈধভাবে গড়ে তোলা ১৫টি দোকান উচ্ছেদ করে দখলমুক্ত করেছে","July 25, 2022",Miscellaneous,Miscellaneous
পটুয়াখালীতে প্রতি বছর দ্বিগুণ হচ্ছে পানিতে ডুবে মৃত্যু,https://banglanews24.com/national/news/bd/946084.details,পটুয়াখালী: সোমবার (২৫ জুলাই) আন্তর্জাতিক পানিতে ডুবে মৃত্যু প্রতিরোধ দিবস। ২০২০ সালের এপ্রিলে পানিতে ডুবে মৃত্যু ঠেকাতে জাতিসংঘে,"July 25, 2022",Crime,Law & Order
"‘ইভিএমে ভোট হবে, কে কোথায় দেবে, তা কিন্তু আমাদের কাছে চলে আসবে’",https://banglanews24.com/politics/news/bd/945963.details,"পটুয়াখালী: ‘ভোট হবে ইভিএমে, কে কোথায় ভোট দেবে, তা কিন্তু আমাদের কাছে চলে আসবে। অতএব ভয় পাওয়ার কোনো কারণ নাই, টেনশনেরও কিছু নাই’ –","July 24, 2022",Election,Politics & Movement
৬৫ দিন পর ইলিশ ধরতে সাগরে নামছেন জেলেরা,https://banglanews24.com/national/news/bd/945593.details,পটুয়াখালী: সামুদ্রিক ৪৬০ প্রজাতির মাছের নিরাপদ প্রজনন ও উৎপাদন বৃদ্ধির লক্ষ্যে চলতি বছরের গত ২০ মে থেকে ২৩ জুলাই পর্যন্ত সাগরে সব,"July 23, 2022",Agriculture,Agriculture
কুয়াকাটায় জিও টিউবের ফাঁকে পড়ে পর্যটকের মৃত্যু,https://banglanews24.com/national/news/bd/945462.details,পটুয়াখালী: পটুয়াখালীর কুয়াকাটায় সৈকত রক্ষায় পানি উন্নয়ন বোর্ডের অপরিকল্পিত জিও টিউবের ফাঁকে পড়ে নাহিয়ান মাহাদী (১৫) নামে এক,"July 22, 2022",Crime,Law & Order
"নিষেধাজ্ঞা না মেনে বঙ্গোপসাগরে মাছ শিকার, ২২ জেলেকে জরিমানা",https://banglanews24.com/national/news/bd/945293.details,পটুয়াখালী: পটুয়াখালীর কুয়াকাটা সংলগ্ন বঙ্গোপসাগরে নিষেধাজ্ঞা অমান্য করে মাছ ধরার দায়ে মাছ ধরার ১০ ট্রলার জব্দসহ ২২ জেলেকে ১ লাখ ৬৪,"July 21, 2022",Agriculture,Agriculture
"বাংলাদেশ অংশে ভারতীয় জেলেদের মাছ শিকার, আটক ১৬",https://banglanews24.com/national/news/bd/945117.details,পটুয়াখালী: বঙ্গোপসাগরসহ নদনদীতে মাছ ধরায় ৬৫ দিন নিষেধাজ্ঞা চলাকালীন সময়ে বাংলাদেশের জলসীমানায় প্রবেশ করে অবৈধভাবে মাছ শিকারের,"July 21, 2022",Agriculture,Agriculture
সাবেক এমপি রনির ভাঙা বাড়ির মালপত্র নিলামে বিক্রি,https://banglanews24.com/national/news/bd/945054.details,পটুয়াখালী: সরকারি জমিতে অবৈধভাবে নির্মাণ করা সাবেক এমপি গোলাম মাওলা রনির বাড়ি উচ্ছেদ করে বাড়ির নির্মাণ সামগ্রী উন্মুক্ত নিলামের,"July 20, 2022",Miscellaneous,Miscellaneous
ভাঙা হলো গোলাম মাওলা রনির অবৈধ ভবন,https://banglanews24.com/national/news/bd/944744.details,পটুয়াখালী: গলাচিপা উপজেলার উলানিয়া বাজারের সরকারি জমিতে বানানো পটুয়াখালী-০৩ আসনের সাবেক সংসদ সদস্য (এমপি) গোলাম মাওলা রনির দোতলা,"July 19, 2022",Crime,Law & Order
স্বামী-স্ত্রী পরিচয়ে কুয়াকাটার হোটেলে ওঠার পর রুমে মিলল তরুণীর মরদেহ,https://banglanews24.com/national/news/bd/944662.details,পটুয়াখালী: পটুয়াখালীর কুয়াকাটায় একটি আবাসিক হোটেল থেকে সাদিকা আক্তার রিচী (১৮) নামে এক নারী পর্যটকের মরদেহ উদ্ধার করেছে পুলিশ।,"July 19, 2022",Crime,Law & Order
কুয়াকাটায় ৬ ব্যবসা প্রতিষ্ঠানকে ২ লাখ টাকা জরিমানা,https://banglanews24.com/national/news/bd/944387.details,"পটুয়াখালী: পটুয়াখালীর কুয়াকাটায় বিভিন্ন অভিযোগে ৬ ব্যবসা প্রতিষ্ঠানকে ২ লাখ টাকা জরিমানা করেছে ভ্রাম্যমাণ আদালত। 
রবিবার (১৭","July 18, 2022",Tourism,"Commerce,Tourism & Festival"
ঘাটে লঞ্চের ধাক্কায় শিশুসহ আহত ২০,https://banglanews24.com/national/news/bd/944360.details,পটুয়াখালী: পটুয়াখালীর বাউফলের ধুলিয়া লঞ্চ ঘাটে কালাইয়া টু ঢাকাগামী এমভি ধুলিয়া-১ দোতালা লঞ্চের ধাক্কায় পন্টুনে অপেক্ষমাণ শিশু ও,"July 17, 2022",Transportation,Transportation
"পটুয়াখালীতে নিয়ন্ত্রণ হারিয়ে বাস খাদে, আহত ২০ যাত্রী",https://banglanews24.com/national/news/bd/944071.details,পটুয়াখালী: পটুয়াখালী-বরিশাল মহাসড়কের মৌকরন এলাকায় যাত্রীবাহী বাস খাদে পড়ে অন্তত ২০ যাত্রী আহত হয়েছেন। শনিবার (১৬ জুলাই) ভোরের দিকে,"July 16, 2022",Transportation,Transportation
কুয়াকাটায় অনুমোদন না থাকায় হোটেল-দোকানে জরিমানা,https://banglanews24.com/national/news/bd/944016.details,পটুয়াখালী: পটুয়াখালীর কুয়াকাটায় অনুমোদন ও প্রয়োজনীয় কাগজপত্র না থাকায় চার আবাসিক হোটেলে অভিযান চালিয়ে দুই লাখ টাকা জরিমানা করেছেন,"July 16, 2022",Tourism,"Commerce,Tourism & Festival"
পরিবারের সামনেই নদীতে গড়িয়ে পড়ে শিশু নিখোঁজ,https://banglanews24.com/national/news/bd/943940.details,পটুয়াখালী: পটুয়াখালীর লোহালিয়া-গলাচিপা নদীর কলাগাছিয়া এলাকায় বাড়ির উঠানের কাছ থেকে পরিবারের সবার সামনে নদীতে গড়িয়ে পড়ে মাহমুদুল,"July 15, 2022",Child & Women Harrasement,Law & Order
গলাচিপা উপজেলা চেয়ারম্যানের বহিষ্কারের দাবিতে বিক্ষোভ,https://banglanews24.com/national/news/bd/943868.details,পটুয়াখালী: নিজ দলের সাংগঠনিক সম্পাদককে মারধরের প্রতিবাদে পটুয়াখালীর গলাচিপা উপজেলা চেয়ারম্যান ও উপজেলা আওয়ামী লীগের সহ সভাপতি,"July 15, 2022",Election,Politics & Movement
দশমিনায় পানিতে ডুবে দুই শিশুর মৃত্যু,https://banglanews24.com/national/news/bd/943534.details,পটুয়াখালী: পটুয়াখালীর দশমিনায় পুকুরের পানিতে ডুবে দুই শিশুর মৃত্যু হয়েছে। বুধবার (১৩ জুলাই) সকালে উপজেলার পৃথক স্থানে এ ঘটনা ঘটে।,"July 13, 2022",Crime,Law & Order
